site_url,include_reason
13bells.com,
1611.social,
23.illuminati.org,other_shtpst
4aem.com,
adachi.party,
anarchism.space,pol_agenda
anime.website,
annihilation.social,
anon-kenkai.com,
asbestos.cafe,
awoo.space,nsfw_furry
babyfurs.social,furry
bae.st,
bajax.us,
banepo.st,
baraag.net,
bassam.social,
beach.city,nsfw
beefyboys.win,
beepboop.ga,
berserker.town,
bikeshed.party,
body.social,nsfw
boks.moe,
bondsdogs.com,other_shtpst
boymoder.biz,
brainsoap.net,
breastmilk.club,
brighteon.social,
bungle.online,
cawfee.club,
clew.lol,
clubcyberia.co,
collapsitarian.io,
comfyboy.club,
community.cockworshipper.com,nsfw_in_url
contrapointsfan.club,
coop.lol,pol_agenda
crucible.world,
cryptodon.lol,crypto_bros
cryptombit.com,crypto_bros
cubhub.social,nsfw_furry
cum.camp,
cum.salon,
dariox.club,nsfw
darknight-coffee.org,
decayable.ink,
dembased.xyz,
desupost.soy,
detroitriotcity.com,
dipshit.space,nsfw_in_url
dpr.kim,pol_agenda
eatthebugs.social,
eientei.org,
elementality.org,
estrogen.network,other_bubble
eveningzoo.club,
feral.cafe,nsfw_furry
firedragonstudios.com,
firefaithfellowship.com,
fisting.social,nsfw
fluf.club,
foxfam.club,
freak.university,
freeatlantis.com,
freedomstrike.org,
freemasonry.social,pol_agenda
freeradical.zone,pol_agenda
freesoftwareextremist.com,
freespeech.group,
freespeechextremist.com,
freetalklive.com,
fribygda.no,pol_agenda
froth.zone,
fulltermprivacy.com,
gainer.cloud,nsfw_grmer
gameliberty.club,
gaybdsm.group,nsfw
gearlandia.haus,
genderheretics.xyz,
geofront.rocks,
girlcock.club,nsfw_in_url
girldick.gay,nsfw_in_url
gleasonator.com,
glee.li,
glindr.org,
godforsaken.website,other_shtpst
goyim.app,
goyslop.cafe,
haeder.net,
handholding.io,
himk.am,crypto_bros
hitchhiker.social,
home.speakfree.social,pol_agenda
homoo.social,nsfw_allus_in_title
horny.house,nsfw_in_url
hunk.city,
ibite.lol,nsfw_furry
iddqd.social,
incitter.vip,pol_agenda
intkos.link,
jorts.horse,other_shtpst
justicewarrior.social,
kawa-kun.com,
kinktroet.social,nsfw
kinky.business,nsfw
kinkyelephant.com,nsfw
kitsunemimi.club,
kiwifarms.cc,
kommunismus.social,pol_agenda
kompost.cz,
kurosawa.moe,
ladies.community,nsfw
leafposter.club,
leftist.network,pol_agenda
leftychan.net,
lesbianschool.com,other_bubble
lewdieheaven.com,nsfw
liberal.lgbt,pol_agenda
liberdon.com,
ligma.pro,
lolicon.rocks,
lolison.top,
lovingexpressions.net,
mahodou.moe,
makemysarcophagus.com,
maladaptive.art,
marsey.moe,
masochi.st,
mastinator.com,
mastobate.social,nsfw_allus_in_title
mastodon.yurialbuquerque.dev,pol_agenda
meow.lgbt,nsfw_furry
merovingian.club,pol_agenda
midwaytrades.com,
mirr0r.city,
moa.st,
mouse.services,
mugicha.club,
mycub.space,nsfw_furry
narrativerry.xyz,
natehiggers.online,
natter.wtf,crypto_bros
neckbeard.xyz,
needs.vodka,
neenster.org,
net4sw.com,nsfw_sxwrkrs
nicecrew.digital,
nnia.space,
noagendasocial.com,
noagendasocial.nl,
noagendatube.com,
nobodyhasthe.biz,
node1.mastodong.net,nsfw_allus_in_title
nukem.biz,
obo.sh,
onionfarms.org,
onlypa.ws,nsfw_allus_in_title
pawlicker.com,
pawoo.net,
pedo.school,nsfw_ped
piazza.today,
pibvt.net,
pieville.net,
pisskey.io,
plagu.ee,
pmth.us,
poa.st,
poast.org,
poast.tv,
poster.place,
prospeech.space,
quodverum.com,
r18.social,
radicalsocial.work,pol_agenda
radikal.social,pol_agenda
rakket.app,
rapemeat.solutions,
rdrama.cc,
rebelbase.site,
retardedniggers.forsale,
rojogato.com,
ryona.agency,
schwartzwelt.xyz,
seal.cafe,
shigusegubu.club,
shitpost.cloud,
shota.house,
silliness.observer,
skinheads.eu,
skinheads.io,
skinheads.social,
skinheads.uk,
skippers-bin.com,
skyshanty.xyz,
slash.cl,
sleepy.cafe,
smuglo.li,
smutlandia.com,nsfw
sneed.social,
social.rebellion.global,pol_agenda
socialism.social,pol_agenda
sonichu.com,
spinster.xyz,
springbo.cc,
starnix.network,
strelizia.net,
subversive.zone,pol_agenda
syspxl.xyz,
tastingtraffic.net,
teci.world,
theapex.social,
thepostearthdestination.com,
theres.life,other_bubble
thicc.horse,nsfw
threads.net,meta_p92_instabarcelona
tkammer.de,
tranny.town,derogatory_in_url
transformacion.social,pol_agenda
trumpislovetrumpis.life,truthsocial_trump
truthsocial.co.in,truthsocial_trump
urchan.org,
uwu.town,nsfw
varishangout.net,
very.bignutty.xyz,nsfw_allus_in_title
whinge.house,
whinge.town,
wideboys.org,
wolfgirl.bar,
woof.tech,furry
woofy.social,furry
xn--p1abe3d.xn--80asehdb,
xn--ratatskr-r4a.de,furry
xno.social,crypto_bros
yggdrasil.social,
youjo.love,
zhub.link,war_agenda
zztails.gay,
