#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
13bells.com,suspend,False,False,,False
1611.social,suspend,False,False,,False
23.illuminati.org,suspend,False,False,,False
4aem.com,suspend,False,False,,False
adachi.party,suspend,False,False,,False
anarchism.space,suspend,False,False,,False
anime.website,suspend,False,False,,False
annihilation.social,suspend,False,False,,False
anon-kenkai.com,suspend,False,False,,False
asbestos.cafe,suspend,False,False,,False
awoo.space,suspend,False,False,,False
babyfurs.social,suspend,False,False,,False
bae.st,suspend,False,False,,False
bajax.us,suspend,False,False,,False
banepo.st,suspend,False,False,,False
baraag.net,suspend,False,False,,False
bassam.social,suspend,False,False,,False
beach.city,suspend,False,False,,False
beefyboys.win,suspend,False,False,,False
beepboop.ga,suspend,False,False,,False
berserker.town,suspend,False,False,,False
bikeshed.party,suspend,False,False,,False
body.social,suspend,False,False,,False
boks.moe,suspend,False,False,,False
bondsdogs.com,suspend,False,False,,False
boymoder.biz,suspend,False,False,,False
brainsoap.net,suspend,False,False,,False
breastmilk.club,suspend,False,False,,False
brighteon.social,suspend,False,False,,False
bungle.online,suspend,False,False,,False
cawfee.club,suspend,False,False,,False
clew.lol,suspend,False,False,,False
clubcyberia.co,suspend,False,False,,False
collapsitarian.io,suspend,False,False,,False
comfyboy.club,suspend,False,False,,False
community.cockworshipper.com,suspend,False,False,,False
contrapointsfan.club,suspend,False,False,,False
coop.lol,suspend,False,False,,False
crucible.world,suspend,False,False,,False
cryptodon.lol,suspend,False,False,,False
cryptombit.com,suspend,False,False,,False
cubhub.social,suspend,False,False,,False
cum.camp,suspend,False,False,,False
cum.salon,suspend,False,False,,False
dariox.club,suspend,False,False,,False
darknight-coffee.org,suspend,False,False,,False
decayable.ink,suspend,False,False,,False
dembased.xyz,suspend,False,False,,False
desupost.soy,suspend,False,False,,False
detroitriotcity.com,suspend,False,False,,False
dipshit.space,suspend,False,False,,False
dpr.kim,suspend,False,False,,False
eatthebugs.social,suspend,False,False,,False
eientei.org,suspend,False,False,,False
elementality.org,suspend,False,False,,False
estrogen.network,suspend,False,False,,False
eveningzoo.club,suspend,False,False,,False
feral.cafe,suspend,False,False,,False
firedragonstudios.com,suspend,False,False,,False
firefaithfellowship.com,suspend,False,False,,False
fisting.social,suspend,False,False,,False
fluf.club,suspend,False,False,,False
foxfam.club,suspend,False,False,,False
freak.university,suspend,False,False,,False
freeatlantis.com,suspend,False,False,,False
freedomstrike.org,suspend,False,False,,False
freemasonry.social,suspend,False,False,,False
freeradical.zone,suspend,False,False,,False
freesoftwareextremist.com,suspend,False,False,,False
freespeech.group,suspend,False,False,,False
freespeechextremist.com,suspend,False,False,,False
freetalklive.com,suspend,False,False,,False
fribygda.no,suspend,False,False,,False
froth.zone,suspend,False,False,,False
fulltermprivacy.com,suspend,False,False,,False
gainer.cloud,suspend,False,False,,False
gameliberty.club,suspend,False,False,,False
gaybdsm.group,suspend,False,False,,False
gearlandia.haus,suspend,False,False,,False
genderheretics.xyz,suspend,False,False,,False
geofront.rocks,suspend,False,False,,False
girlcock.club,suspend,False,False,,False
girldick.gay,suspend,False,False,,False
gleasonator.com,suspend,False,False,,False
glee.li,suspend,False,False,,False
glindr.org,suspend,False,False,,False
godforsaken.website,suspend,False,False,,False
goyim.app,suspend,False,False,,False
goyslop.cafe,suspend,False,False,,False
haeder.net,suspend,False,False,,False
handholding.io,suspend,False,False,,False
himk.am,suspend,False,False,,False
hitchhiker.social,suspend,False,False,,False
home.speakfree.social,suspend,False,False,,False
homoo.social,suspend,False,False,,False
horny.house,suspend,False,False,,False
hunk.city,suspend,False,False,,False
