#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
23.illuminati.org,suspend,False,False,,False
anarchism.space,suspend,False,False,,False
awoo.space,suspend,False,False,,False
babyfurs.social,suspend,False,False,,False
beach.city,suspend,False,False,,False
body.social,suspend,False,False,,False
bondsdogs.com,suspend,False,False,,False
community.cockworshipper.com,suspend,False,False,,False
coop.lol,suspend,False,False,,False
cryptodon.lol,suspend,False,False,,False
cryptombit.com,suspend,False,False,,False
cubhub.social,suspend,False,False,,False
dariox.club,suspend,False,False,,False
dipshit.space,suspend,False,False,,False
dpr.kim,suspend,False,False,,False
estrogen.network,suspend,False,False,,False
feral.cafe,suspend,False,False,,False
fisting.social,suspend,False,False,,False
freemasonry.social,suspend,False,False,,False
freeradical.zone,suspend,False,False,,False
fribygda.no,suspend,False,False,,False
gainer.cloud,suspend,False,False,,False
gaybdsm.group,suspend,False,False,,False
girlcock.club,suspend,False,False,,False
girldick.gay,suspend,False,False,,False
godforsaken.website,suspend,False,False,,False
himk.am,suspend,False,False,,False
home.speakfree.social,suspend,False,False,,False
homoo.social,suspend,False,False,,False
horny.house,suspend,False,False,,False
ibite.lol,suspend,False,False,,False
incitter.vip,suspend,False,False,,False
jorts.horse,suspend,False,False,,False
kinktroet.social,suspend,False,False,,False
kinky.business,suspend,False,False,,False
kinkyelephant.com,suspend,False,False,,False
kommunismus.social,suspend,False,False,,False
ladies.community,suspend,False,False,,False
leftist.network,suspend,False,False,,False
lesbianschool.com,suspend,False,False,,False
lewdieheaven.com,suspend,False,False,,False
liberal.lgbt,suspend,False,False,,False
mastobate.social,suspend,False,False,,False
mastodon.yurialbuquerque.dev,suspend,False,False,,False
meow.lgbt,suspend,False,False,,False
merovingian.club,suspend,False,False,,False
mycub.space,suspend,False,False,,False
natter.wtf,suspend,False,False,,False
net4sw.com,suspend,False,False,,False
node1.mastodong.net,suspend,False,False,,False
onlypa.ws,suspend,False,False,,False
pedo.school,suspend,False,False,,False
radicalsocial.work,suspend,False,False,,False
radikal.social,suspend,False,False,,False
smutlandia.com,suspend,False,False,,False
social.rebellion.global,suspend,False,False,,False
socialism.social,suspend,False,False,,False
subversive.zone,suspend,False,False,,False
theres.life,suspend,False,False,,False
thicc.horse,suspend,False,False,,False
threads.instagram.com,suspend,False,False,,False
threads.net,suspend,False,False,,False
tranny.town,suspend,False,False,,False
transformacion.social,suspend,False,False,,False
truthsocial.co.in,suspend,False,False,,False
uwu.town,suspend,False,False,,False
very.bignutty.xyz,suspend,False,False,,False
woof.tech,suspend,False,False,,False
woofy.social,suspend,False,False,,False
xn--ratatskr-r4a.de,suspend,False,False,,False
xno.social,suspend,False,False,,False
zhub.link,suspend,False,False,,False
